date,title,content
"January 4, 2019 | Jolayne Houtz",The doctors for your life,"“OK, who do we have next?”Dr. Esi Nkyekyer leans forward, listening intently as a medical fellow describes her next patient.The case: A middle-aged man who washed cars for a living but has been unemployed since developing carpal tunnel syndrome on the job. He feels numbness and tingling in both hands even after surgery.The patient also has diabetes but isn’t currently being treated for it. (Could nerve damage from diabetes also contribute to the numbness and tingling he is experiencing, Nkyekyer wonders?)One more thing: The man says he is desperate to get back to work. His primary-care doctor says he can’t return to his previous job. But other medical providers who have evaluated him say he is well enough to resume any kind of work.“So,” Nkyekyer sums up, “it seems to me we need to break this bottleneck.”Established in 1981 as one of the country’s first clinics dedicated to occupational and environmental medicine.Major funding comes from Harborview Medical Center, the state of Washington through the Medical Aid and Accident Fund and other sources.Designated by the Washington State Department of Labor & Industries as a center of excellence for chemically related illnesses.“Bottleneck-breaker” is an apt description for the Occupational and Environmental Medicine (OEM) Clinic, where Nkyekyer (pronounced en-CHE-cher) is the newly appointed medical director.Here, doctors who specialize in preventing, diagnosing and treating work-related and environmental health issues see more than 300 patients each year who have been injured or become ill from exposure to chemicals or other hazards at work.Their cases can be uncommonly complex, requiring multiple specialists, a highly customized approach to health care and a clinical and administrative team that works together to address patient needs and barriers to recovery.The clinic—located at Seattle’s Harborview Medical Center—is a collaboration among DEOHS in the UW School of Public Health, Harborview, UW Medicine and the UW Division of General Internal Medicine in the Department of Medicine.On a recent day, patients visiting the OEM Clinic included:The clinic also serves as a referral center for workers at the Hanford Nuclear Reservation who have experienced chemical exposures or injuries on the job.Patients may have multiple health issues—some work-related, some not—that can impact their ability to return to work, said Nkyekyer, a Yale-trained physician who completed an occupational and environmental medicine fellowship at the UW.A care provider’s decision about whether an injury or disease is work-related has important financial, legal, policy and workplace implications that may go beyond a single patient, potentially affecting many other workers.Work injuries and illnesses can affect any part of the body, so the team includes multidisciplinary experts from orthopedists to pulmonologists.Recently, the clinic launched a new practice area exclusively focused on treating people who work with animals.“We’re like the doctors for your life. We’re taking care of your work-related injury or exposure, and . . . we also want to help you get your life back,” Nkyekyer said.Research shows the longer an injured worker is off work, the more likely he or she is to become disabled and unable to work, with a ripple effect on their families and communities.The clinic plays a central role in coordinating across the many agencies and individuals involved in each case, including:Each case generates a mountain of paperwork that needs to be completed under strict deadlines to ensure the worker qualifies for medical and employment benefits and that care is not delayed.“These are people who have hit so many barriers,” said Sherrill Simmons, clinic program coordinator. “I hear a lot of them saying they’re depressed or worried about what happens if they get reinjured.”For Nkyekyer and the rest of the clinic’s specialists, the patient in front of them is often just the beginning of the story.An individual injury or illness could represent a sentinel case, signaling that other workers may be at risk in the same workplace or industry for similar injuries or illnesses.Medical specialists may work with the clinic’s industrial hygienist, experts in the DEOHS Field Research and Consultation Group and others to evaluate health and safety conditions at the patient’s workplace.“We’re intervening at the individual level and at the population level,” Nkyekyer said. “We provide education to each individual patient. But even bigger than that, we’re talking to employers about what they can do to ensure a safer workplace.”The OEM clinic is the primary clinical training site for occupational and environmental medicine residents and fellows, many of whom end up caring for patients across the Pacific Northwest. Specialists also conduct medical screening and surveillance activities for individuals in high-risk occupations.That ability to see both the patient and the bigger population health issues means doctors at the OEM Clinic can catch and address things others may miss.A man in his 40s who suffered a back injury at work recently went to the clinic for an assessment by Dr. June Spector, DEOHS assistant chair and UW director of occupational and environmental medicine.Despite having back surgery, he was still in so much pain he couldn't return to work or participate in job retraining.But Spector also noticed a couple other things: The patient suffered from hearing loss and had an unidentified mass in his groin. Could the mass be a work-related hernia, she wondered?She learned that he hadn’t been able to wear hearing protection at his workplace because part of his job was to listen for incoming phone calls.“He was feeling pretty discouraged,” Spector said. “All of this was affecting his ability to think about his future and to interact with his kids.”In addition to treatment and physical therapy for his back pain, Spector ordered an imaging test for the mass and an audiogram to check his hearing—tests that could indicate whether he is eligible for additional support from workers’ compensation insurance.“The back injury was the only focus for months. If you go in with blinders, you can miss all the other things going on,” Spector said. "
"December 19, 2018 | Jolayne Houtz",A matter of scientific integrity,"A group of 15 air pollution experts—including three scientists from the UW Department of Environmental & Occupational Health Sciences (DEOHS)—say recent changes made by the US Environmental Protection Agency (EPA) have damaged the quality and credibility of the EPA’s scientific review process for federal clean air standards.DEOHS professors Lianne Sheppard, Sverre Vedal and Joel Kaufman are among the group of independent scientists who signed a strongly worded letter to the EPA last week saying the current EPA advisory panel on airborne particle pollution lacks the scientific expertise needed to review federal standards.At the same time, the EPA also overhauled the chartered CASAC panel itself, which now includes seven members, most of whom have little direct experience in air pollution research. Wheeler said in a statement that the new panel members “are highly qualified and have a diverse set of backgrounds.”Sheppard served as a member of the chartered CASAC panel until she was dismissed in October. She felt so strongly about the changes in the panel and the review process that she traveled to Washington, DC, last week to speak in person during a CASAC review of the latest science on air pollution.“The CASAC process is broken, and the sweeping changes that have been made are arbitrary and capricious,” she told the panel. “Today’s deliberations have made it abundantly clear that seven individuals are not sufficiently qualified to conduct the (particulate matter) review that occurred today.”Sheppard called the process “a travesty.”“What they were paying attention to, what they were ignoring, their lack of knowledge about what they were reviewing . . . it was just a lot of ill-informed science,” she said.Until now, advisory panel members were all national and international experts in their discipline areas, used to “drilling down deep” to understand what the evidence shows about the health effects of exposure to air pollution, Sheppard said.Despite being dismissed as panel members, the group has continued to meet this fall as independent scientists to review the scientific evidence. Many submitted individual statements about their findings to the CASAC panel last week.Vedal said the scientists are not expecting their independent reviews to have an immediate effect on the EPA’s process.“Reasoned argument, evidence and facts are no longer the currency of decision-making for this EPA administration,” he said. “Rather, our purpose is to create a record of public comments that could be used in future litigation or other settings where scientific evidence will be valued.”In their letter, the former EPA advisers ask the EPA to reinstate the particulate matter review panel and call on the new chartered CASAC panel to reject the EPA’s accelerated scientific review process.The panel will continue its discussion of clean air standards early next year.Earlier this year, Sheppard sued the EPA over a separate directive issued by former Administrator Scott Pruitt that prohibits scientists who receive EPA funding from serving on its advisory boards.She chose to stay on the panel but was forced to walk away from an EPA-funded research project on air pollution and its connection to heart disease. She is suing as an individual and not on behalf of the UW."
"December 18, 2018 | Lynn Schnaiberg",Celebrating a lifetime of scientific achievement,"UW Interdisciplinary Center for Exposures, Diseases, Genomics and Environment and the UW Nanotoxicology Center.Co-director, the Predictive Toxicology Center1989“Studying environmental toxicology and genetics was a way to combine my interests in environmental sciences . . . and health, letting me contribute to both environmental and public health.”- TERRANCE KAVANAGHTerrance Kavanagh, professor in the University of Washington Department of Environmental & Occupational Health Sciences, is one of two UW researchers recently named among the 416 new fellows of the American Association for the Advancement of Science.Fellows are elected by peers in recognition of their efforts to advance science or its applications.Below, we talk with Kavanagh, 64, a laboratory scientist, fly fisherman and winemaker who left his native Michigan for the UW in 1985 to become a postdoc in the pathology department. Today, he directs or co-directs three UW centers. His comments have been edited for clarity and length.We were among the first to create cellular and animal models (lab mice) of modified glutathione synthesis. This work is important for understanding which individuals are most susceptible to harmful environmental exposures, as well as for understanding human diseases and our metabolism of drugs.Plants, animals and humans all produce the antioxidant glutathione, which lessens harm from exposure to toxicants and disease conditions associated with oxidative stress. As humans age, glutathione levels drop. But a person’s genetics also affect how efficiently the body replaces the antioxidant as it is expended to protect our cells.We’ve modified a gene in lab mice so that they can no longer efficiently make glutathione. This lets us probe the role glutathione plays in many cellular and physiological processes.We can then relate those processes to common genetic differences in humans that give us variable capacity to make this vital antioxidant—and, therefore, variable levels of vulnerability to suffering adverse health impacts from chemical exposures.Our work can be used to understand who is most vulnerable to toxic chemicals and under what conditions, informing environmental and public health policies that aim to protect susceptible individuals within the broader population.This is especially useful as personalized medicine and precision environmental health policy evolve.We already know low glutathione in animals is associated with negative cardiovascular effects from diesel exhaust. In humans, low glutathione can predispose us to acetaminophen drug overdose and resulting liver damage. And we know glutathione dysregulation is linked with cerebral vascular disease, metabolic syndrome, cystic fibrosis and Type 1 diabetes.Researchers across the country have used the models we (and others) have developed to investigate the importance of this antioxidant in protecting cells, animals and people from various drugs and chemical pollutants and to explore aspects of development and aging, cancer, liver, lung and kidney diseases, inflammation and immunity, psychiatric disorders and neurological diseases.Our work with the National Cancer Institute will investigate the potential carcinogenic effects of e-cigarettes—and not just around nicotine.Important questions relate to the huge diversity of flavoring agents used in these devices. We don’t know a lot about these agents’ toxicity and their ability to initiate and promote precancerous lesions or even cancer itself.Flavoring agents can turn into reactive aldehydes that can change your DNA. This is the Wild West: People are putting in all kinds of flavoring—and it’s largely unregulated. What happens when these flavoring agents get heated up? Is second-hand exposure to exhaled vapors, particles and chemically modified elements from e-cigarettes potentially harmful? Are we genetically predisposed to susceptibility for adverse effects from e-cigarettes?We’re using genetically inbred strains of mice that are predicted to be more (or less) susceptible to these e-cigarette constituents. Hopefully this will let us discover, through genetic mapping, those gene variants associated with susceptibility (or resistance) to e-cigarettes.Yes, I’ve gone from studying the entire environment to cells in a dish. I spent a lot of my childhood in the woods and waters of Northern Michigan, which gave me a sense of wonder about the natural world and inspired a love of science.Today, I hike and camp at Mount Rainier and fly-fish the Yakima River and rivers in Montana. I started college in premed, but found myself also drawn to ecology, evolutionary biology and natural resources. I realized that studying environmental toxicology and genetics was a way to combine my interests in environmental sciences with my interests in medicine and health, letting me contribute to both environmental and public health.I’ve been fortunate to have wonderfully fun colleagues and friends as fellow winemakers for almost 20 years. Each year seems to have its unique qualities of season, climate and timing. The strains of yeast and malolactic bacteria we add all impact our wines’ quality, which gives us a lot to discuss and argue over.Naturally, this also requires frequent sampling as the wine ages."
"December 11, 2018 | Elisabeth Burnor",The more you know,"I recently found leftovers in my fridge that were close to a week old—right on the line between acceptable and sketchy. I performed the tried-and-true smell test, made a judgment and popped them in the microwave. The broccoli tasted fine, the rice was a little dry. All was going well until my mind wandered to a recent lecture on foodborne pathogens in my environmental microbiology course.We had discussed the many opportunities for contamination as food makes the journey from farm to grocery store to kitchen to refrigerator to plate. I began to examine my broccoli more carefully: Had I left it at room temperature for too long? Had I re-heated it long enough? Were there invisible fungal spores in there?The power of hunger (and the reality of a student budget) won out, and I dutifully finished my broccoli. I waited and wondered. I didn’t get sick.At its core, environmental and occupational health is about identifying, preventing and eliminating potential health risks to humans.One unintended consequence? As students in the UW Department of Environmental & Occupational Health Sciences (DEOHS), we spend many hours learning about, discussing and researching all the ways our everyday environment can harm us.It’s enough to make you a little bit paranoid.During a recent lecture on the risks of microbial contamination in pools and hot tubs, DEOHS Adjunct Lecturer Charles Easterberg told us: “There are a lot of things I didn’t know, back when I used to enjoy life.” The lecture prompted MPH student Kori VanDerGeest to say fervently as she left the classroom: “I will think twice before using a hot tub in the future!”MPH student Jessica Porter told me that she is more hesitant to take antibiotics after learning about the negative effects they can have on your microbiome.Sarah Philo, a first-year PhD student, had the misfortune of participating in a class discussion on food safety and Salmonella one day before Thanksgiving.Her Thanksgiving prep and clean-up the next day looked like a microbiology laboratory protocol, complete with antiseptic wipes to open and close her refrigerator door and a generous layer of disinfectant applied to every kitchen surface after handling the raw turkey.What is the point of all this scary science?I realize that the general public probably feels the same way. News articles are published every day that reveal the risks of sugar, bacon, stress, car exhaust, sleep deprivation, too much sleep, working outdoors, working indoors...the list goes on.As environmental health students, we have the opportunity to improve communication with the public about the risks as well as the potential solutions. As future public health professionals, we can highlight ways to avoid harm or discover new ways to prevent it in the first place. And it’s not just about prevention. The field of environmental and occupational health is increasingly focused on the opportunity to apply what we’re learning to design cities, food supply chains, workplaces and, ultimately, societies that function in a fair and sustainable manner.Individually, many of us are already making better choices as consumers thanks to what we’re learning at the UW.“It’s made me more conscious of water—how much I use and how I can conserve it,” said Philo.Richard Taing, a first-year master’s student, says: “I used to buy airline tickets based on price alone, but now I look at the number of connections, and I’m trying to think about reducing my carbon footprint when flying.”If all of this research and learning means that we can live more sustainably—and perhaps influence others by our example—then I think I can learn to live with a little paranoia.I never particularly enjoyed hot tubs anyway."
"December 6, 2018 | Amanda Pain",A legacy of impact,"1978; served as department chair 1998–2014.Helping to expand the department.“I would urge new faculty to be interested in everything and collaborate broadly while also building your own research identity. Finding a good balance between your personal focus and forming strong collaborations is what a faculty career is all about.”- DAVID KALMANDavid Kalman wasn’t planning to spend his entire career at the Department of Environmental & Occupational Health Sciences (DEOHS) at the University of Washington.Yet somehow, after joining the faculty in 1978, he never left. Forty years later, the environmental health professor and former department chair will retire this month.Kalman trained as a chemist and earned his doctorate from the UW in 1978. Upon graduating, he was offered a position in DEOHS and eventually served as director of the department's Environmental Health Laboratory, assistant chair, director of the undergraduate program and finally department chair, a role he held for 16 years.“It has been a pleasure working with students, faculty and staff, ” Kalman said. “I am ready to move on, but I hope to not be a stranger after I retire.”Kalman said he always wanted a career in science, and he chose chemistry because it was hands-on. He became interested in environmental health during his undergraduate studies in chemistry, when he took part in a research project looking at salt water infiltration into drinking water in the Los Angeles area.His first DEOHS project—investigating chemical pollutants in sewage treatment plants—hooked him for good.“I stayed at UW because I like the work, and I had an easy time connecting to the research,” Kalman said. “While I found my PhD work in chemistry intellectually interesting in an abstract way, my research at the department was directly applicable to people’s lives.”Kalman said contributing to the department’s growth is his proudest professional achievement.""David led the department's transition in our research to include a broader range of environmental and workplace factors that affect people's health,"" said Michael Yost, DEOHS professor and current department chair.""He encouraged targeted growth through his support for innovative research methods, cross-disciplinary partnerships and a focus on identifying health solutions for populations most at risk from exposures in their communities or jobs.""Understanding chemistry is a critical skill for public health scientists, Kalman said.Kalman has researched chemical hazards in both natural and built environments, such as asbestos, heavy metals in soil, industrial chemicals and atmospheric pollutants. Much of his research has focused on developing biological indicators of human exposure to environmental agents.He worked on several studies with colleagues from the University of California, Berkeley, looking at arsenic exposures in Nevada, Chile, Argentina, India and Bangladesh.Today, that work continues. He is currently assessing samples from Bangladesh as part of ongoing research into the health effects of arsenic exposure during childhood.“Research findings broadly have shown that there is no clear threshold of safe arsenic exposure,” Kalman said. “Even low levels of exposure have led to negative health effects in some populations.”“I think professional subspecialties are giving way to more cross-cutting approaches,” Kalman said. “Adopting a more systems-based approach will transform how we define our research questions and the academic disciplines within public health.”"
"November 29, 2018 | Ashlie Chandler",US health threatened by climate change,"US health care systems should extend their commitment to “do no harm” by ensuring that their own operations are powered by renewable energy, according to a new brief on climate change and health in the United States. The brief is co-authored by researchers in the University of Washington Department of Environmental & Occupational Health Sciences (DEOHS).The brief highlights the important role of public health in training the next generation and educating the public on the health impacts of climate change.“We need to do much more to prepare and respond and to support the health sector in adapting,” said Dr. Jeremy Hess, a DEOHS associate professor who is senior author of the brief. Hess is also associate professor of emergency medicine and global health at the UW Schools of Medicine and Public Health.Hospitals and health systems exist solely to improve people’s health, yet paradoxically they are a top producer of greenhouse gases that exacerbate climate change.“The health sector also needs to take additional leadership on reducing greenhouse gas emissions, which harm people’s health, and to continue pressing our government at every level to reduce emissions,” Hess said.Other research partners include Harvard University, the World Bank, World Health Organization (WHO), University College London and Tsinghua University.Researchers noted that substantially more funding is needed to support local efforts to adapt and enhance resilience.However, Hess says adaptation alone, regardless of funding, won’t be enough.“We’ll adapt to the things that we can, but without aggressive action to reduce emissions, there are likely to be impacts that we won’t be able to adapt to, and we’ll just have to reckon with,” he says. “We can install air conditioning in most homes, but we can’t stop trying to tend crops outside. We can’t move or harden all our critical seaside infrastructure. We can’t stop large population movements resulting from climate disasters. The list of losses that we’ll have trouble absorbing is long and upsetting.”The 2018 report and U.S. brief come just days after a national climate assessment was issued by 13 federal U.S. agencies. It included a chapter on human health, which presented similarly stark warnings of the health impact of climate change for the country.In 2017, there were 16 major natural disasters in the US that together cost more than $313 billion. Among the threats highlighted by the Lancet Countdown's US brief are heat and heat waves, as well as extreme weather events such as Hurricanes Harvey and Maria and the devastating wildfires on the West Coast. Climate change is also elevating the risk of vector-borne illnesses, such as Lyme disease and West Nile virus.Hess said it is urgent that climate change be addressed as a public health issue now.“Reducing greenhouse gas emissions by reducing our reliance on fossil fuels, switching to walking and biking when we go places and eating lower on the food chain all improve people’s health,” he said. “When these health benefits are factored in, mitigation more than pays for itself. And it reduces the damaging health effects of long-term climate change.”Hess was among dozens of doctors, academics and policy professionals who authored the global report, which explores 41 unique indicators that measure the health impacts of climate change and assess the world’s response.The research shows that rising temperatures as a result of climate change are already affecting the health of populations around the world.“There is abundant evidence that communities are not prepared for the ongoing increases in the frequency, intensity and duration of heat waves,” says Kristie Ebi, DEOHS professor and professor of global health at the UW. She is an author of the Lancet Countdown report as well as the human health chapter of the national climate assessment.“Actions are needed right now, matched with investments, such as implementing early-warning systems for heatwaves, including mapping vulnerable populations and providing interventions designed to increase resilience during hot weather,"" she said.Despite a slow response to threat of climate change, experts also cited encouraging signs. Several sectors have seen the start of a low-carbon transition, according to the report. Authors emphasize that the nature and scale of the response to climate change will be the determining factor in shaping the health of nations for centuries to come."
"November 26, 2018 | Amanda Pain",A new home for population health,"The UW Department of Environmental & Occupational Health Sciences (DEOHS) will consolidate into two campus buildings in summer 2020, including the new University of Washington Population Health building now under construction.The Population Health building is a $230 million project made possible by the Bill & Melinda Gates Foundation. It will serve as the home for the UW’s Population Health Initiative and will house part of DEOHS, as well as the Institute for Health Metrics and Evaluation, the School of Public Health (SPH) and the Department of Global Health.Your browser does not support the video tag.The move offers an opportunity for DEOHS to consolidate our staff and programs and improve our ability to collaborate and interact with other public health colleagues, said DEOHS Professor Chris Simpson, who serves as department liaison for the new facility.“DEOHS is core to the activities of the Population Health Initiative,” Simpson said.“Our department brings expertise in measuring environmental contaminants and stressors, which—together with policy and social science—can identify practical, feasible and effective solutions to population health problems.”About 40 percent of DEOHS will move to the new facility, located near the UW’s west entrance, Simpson said. The other 60 percent will be housed in the Roosevelt building at 4225 Roosevelt Way in the University District, where DEOHS already has offices and space for the department’s specialized wet labs, with plumbing, ventilation and equipment for hands-on scientific research.“For researchers moving out of the Magnuson Health Science Building, the laboratory space in Roosevelt is far superior,” he said. “And for faculty and staff moving into the new building, the layout reinforces interdisciplinary science within the department and across SPH departments.”SPH will bring a majority of its five departments into the new building to create a centralized hub for public health, said Uli Haller, the school’s assistant dean of finance and administration.The new facility, due to open in summer 2020, is designed with collaborative work spaces and fewer single office spaces, he said.The ground floor will be student-focused, with classrooms and areas for student interaction. The facility will also have a central stairway to encourage walking and informal opportunities to connect.Haller said the facility design also maximizes the use of natural light and will feature wellness rooms, gender-neutral bathrooms, changing rooms for people who bike or run to work and kitchens and open eating areas.The Gates Foundation “had a vision when they made this gift,” Haller said. “They thought a new building would maximize our potential to work together and create synergy between groups. Simpson said the new building will likely be home to DEOHS administrative staff, teaching faculty and research centers and departments with ongoing, collaborative projects.Those will likely include the Pacific Northwest Agricultural and Safety Health Center and the Center for One Health Research, both part of DEOHS, as well as other departments in the School of Public Health, such as Biostatistics and Epidemiology.“One of the challenging aspects of planning our move is trying to predict what our department will look like in two years and beyond,” Simpson said. “We have to consider how to leverage the new space in support of the department’s vision that clean air, clean water, safe food, safe workplaces and sustainable communities are fundamental to improving population health.”The new Population Health building is designed to be an idea laboratory and collaboration incubator for the Population Health Initiative.The initiative, launched in 2017, is working to advance human health all over the world and is defined by three pillars: human health, environmental resilience and social and economic equity. "
"November 19, 2018 | Lisa Hayward Watts",Clearing the air,"As Central Washington became choked with wildfire smoke last summer, Dr. Mark Larson grew so concerned about air quality measures in Kittitas County that he couldn’t sleep for 10 days.As the health officer for Kittitas County, Larson felt it was his duty to recommend canceling outdoor activities. But as a 20-year community resident, he also knew that the Kittitas Rodeo was right around the corner—a nationally known event that can bring in more than $8 million to the local economy in a single weekend.Canceling the rodeo would have devastating consequences for his community—a threat made explicit by a public official who asked about replacing Larson with a health officer who would OK the event.“I’d become the least popular person in Kittitas County,” Larson said.Smoke in the western parts of North America is getting worse. That was the clear message from Amy Snover, director of the University of Washington Climate Impacts Group (CIG) during a recent symposium on communicating about the health risks of wildfire smoke.By the 2080s, the median annual area burned in the Northwest could more than double compared to rates of burn experienced between 1916 and 2006, according to Snover. Wildfires and smoke events are becoming our new normal, but we’re not prepared for the impacts.The symposium was hosted at the UW by the Collaborative on Extreme Event Resilience (CEER) with support from CIG and the UW Department of Environmental & Occupational Health Sciences.Other sponsors included the UW Program on Climate Change, the Interdisciplinary Center for Exposures, Diseases, Genomics and Environment, the Center for Health and the Global Environment and the Northwest Climate Adaptation Science Center.Other presenters told related stories—about agricultural communities in the Methow Valley where it’s not safe to be outside when crops are ready for harvest; about tribal children who aren’t able to participate in the harvest of traditional foods; about public schools facing closures when aging buildings can’t stay cool without opening the windows.From a public health perspective, we face big questions:While there are no easy answers, participants agreed that the best answers will come from within impacted communities themselves, shared through forums like the symposium.“We wanted to start a discussion about the ways that the UW’s resources and expertise could be used to help meet the needs of our public health partners as they grapple with this emerging public health challenge,” Busch Isaksen said.Errett sees the event as a first step. “We’ll use the discussions we had at the symposium to springboard new collaborations aimed at tackling wildfire smoke risks to improve the health of Washington communities.” "
"November 14, 2018 | Amanda Pain",Building back better,"Out of the ashes can come opportunity.For the growing number of communities hit hard by wildfires, hurricanes, floods and other natural disasters, the immediate aftermath eventually gives way to a daunting new reality: how to rebuild.New research led by Dr. Nicole Errett, lecturer in the UW Department of Environmental & Occupational Health Sciences, explores how a natural disaster can serve as a catalyst for a community to build back better, healthier and more resilient.“Rebuilding after a disaster can address not only immediate health impacts, but also the everyday health problems in a community,” Errett said. “If you have health officials at the table during recovery planning, even rebuilding a road can be done with community health and well-being in mind.”Errett, who has a PhD in health and public policy, leads several research projects examining how states and communities can incorporate health into disaster management and planning.She recently assessed 28 state disaster recovery plans in a research study funded by the Robert Wood Johnson Foundation (RWJF). Only about one-third of the state plans mentioned improved health and well-being in their overall goals, she said. Even fewer plans described strategies to address long-term behavioral or health care needs following a disaster.And only a few state plans called for the collection or use of data on the status of pre-disaster community health, making it even more difficult to address systemic health issues post-disaster, she said.States also may lack the knowledge, tools and capacity to address health considerations in their recovery plans, with many government agencies focused primarily on economic and infrastructure recovery.Now, Errett is on a mission to provide public health agencies with the tools to rebuild stronger and healthier communities following a disaster.She will work with local health departments along the Gulf Coast to identify and address challenges faced in disaster recovery planning and implementation through her role as an early career research fellow with the National Academies of Science, Engineering and Medicine’s Gulf Research Program.Another strategy she is investigating: How public health authorities can tap “citizen scientists” to help collect health data before and after a disaster. These might include members of faith-based groups, who could report on environmental exposures through tools like air monitoring equipment set up in places of worship or by training congregants to collect water samples.Errett is also exploring whether anonymous health data collected from personal health monitoring applications or devices like FitBit or Strava can be used to track disaster recovery and measure community efforts to rebuild with public health in mind. Funding for this work comes from the UW’s Population Health Initiative.Her work is influenced by roles Errett has held at the local and national levels in emergency preparedness.As part of the Office of Emergency Management for the city of Baltimore, Errett and her team worked directly with low-income and underrepresented communities following disasters. She said the team’s work largley focused on meeting their immediate needs and missed opportunities to help them address pre-existing challenges and health inequities. She also worked as the special assistant to the Assistant Secretary for Preparedness and Response for the US Department of Health and Human Services.In the past year, her research has focused on Santa Rosa, CA, after it was scorched by wildfires and Southeast Texas after Hurricane Harvey to understand what kinds of information, tools and resources local health officials need to help influence decision-making for disaster recovery.“There is a lot of work to be done by researchers to help communities build back better,” Errett said. “Understanding how to design and evaluate tools for disaster recovery planning will have an important impact on improving communities’ health and well-being post-disaster.”"
"November 7, 2018 | Amanda Pain","Real-life experience, without the risk","The UW Department of Environmental & Occupational Health Sciences (DEOHS) will soon incorporate virtual reality (VR) into our worker health and safety training programs—a kind of digital “apprenticeship” that could save real lives on the job.Starting next year, DEOHS will pilot-test VR simulation in some training courses for construction workers and others on how to work safely in confined spaces—think construction pits, tunnels and storage containers. “Using VR in the classroom allows workers to recognize potential hazards before encountering them on the job,” said Nancy Simcox, DEOHS lecturer and director of our Continuing Education Program. The program trains nearly 5,000 safety leaders and workers in the Pacific Northwest each year. It’s the first step toward what Simcox hopes will be a digital transformation in workplace health and safety training, leading to fewer on-the-job injuries and fatalities.This innovative approach to worker training began as a student-led capstone project in the Virtual Technology and Design Program at the University of Idaho (UI).With grant funding from DEOHS through the Northwest Center for Occupational Health and Safety’s Education and Research Center, UI graduate student Serendel MacPherson and program team member Elyse Vaartstra tested the VR simulation and will pilot it in the classroom in January 2019.Eventually, Simcox wants to see the approach used in all confined spaces courses offered by DEOHS to workers throughout the Pacific Northwest.“We chose to develop the confined spaces VR simulation because it touches so many different industries, such as construction, mining and oil and gas,” said Brian Cleveley, UI senior instructor in the Virtual Technology and Design Program and faculty mentor for this project.  While more research is needed, VR has been shown to improve comprehension and training effectiveness.The next step will be to assess workers’ long-term retention, said Simcox, who has previously used VR simulations to train health professionals on how to deal with infectious diseases, such as the Ebola virus.Cleveley said more companies are starting to value and incorporate VR into training and the workplace. While VR used to appeal only to video gamers, now it is familiar across age groups.“This new generation of students coming into the classroom is already familiar with VR, and it is a great tool for cognitive learning and decision-making,” Simcox said.With VR becoming more affordable and available, Simcox said the technology shows great potential for worker training on a variety of topics, from emergency medical training to preventing on-the-job hazards like falls, electrocution or workers being struck by or caught in work equipment.Both Simcox and Cleveley say they hope to expand the UW-UI partnership to improve worker health and safety.“The key to reducing injuries is increasing workers’ retention coming out of the classroom,” Cleveley said. “We believe in the Confucian saying: I hear and I forget, I see and I remember, I do and I understand.”Other collaborators on the project include: Adam Gerson, safety compliance officer at the Idaho Occupational Safety and Health Administration; Karin (KD) Hatheway-Dial, UI instructor; Jennifer Lastra, CEO and co-founder of 360 Immersive; and Stephanie Carter, senior industrial hygienist at Veritox."
